Countries,0,1,2,3,4,5,6,7,8
Timor-Leste,4391400000,3199600000,3998900000,5681900000,6671000000,5649800000,4045400000,3104400000,2521000000
Togo,3310277926.58997,3365711796.38206,3426022205.75557,3867391618.08827,3873529926.22723,4320427495.74933,4568900619.92456,4179185205.16122,4457732624.94515
Trinidad and Tobago,27871587349.5413,19172165225.5015,22157253321.2039,25366520906.9264,25601811993.9704,26578524198305,27200280855.0476,24401734194.6814,22295585700.3672
Tunisia,44856586316.0458,43454935940.1614,44050929160.2627,45810626509.4474,45044112939.3687,46251061734.4741,47632326088237,43152528548124,41808379888.2682
Turkey,764335766423358,644640000000,771901783337.77,832523582089552,873982182628062,950579367580628,934185972127028,859796691176471,863721731068508
Uganda,14239026629639,18168902153.8798,20186496527.1256,20176025256.9153,23114293416.3905,24599550623.7254,27291879819.3622,27102650386.6012,24133664284.5033
Ukraine,179816790704739,117113410001027,136013155905036,163159671670265,175781379051433,183310146378081,133503411375739,91030959454.6961,93355993628.5042
United Kingdom,2890564338235.29,2382825985355.97,2452899665124.47,2634895693131.3,2676605417645.99,2753565033773.77,3034729456047.18,2896420586534.4,2659238931670.25
United States,14718582000000,14418739000000,14992052000000,15542582000000,16197007000000,16784851000000,17521747000000,18219297000000,18707189000000
Uruguay,30366213119.2928,31660911277.0294,40284481651.9021,47962439303.7247,51264390116.4909,57531233350.9101,57236013086.1223,53274304222136,52687612261.5424
Venezuela,315953388510678,329787628928472,393192354510653,316482190800364,381286237847667,371005379786566,482359318767703,,
Vietnam,99130304099.1274,106014659770222,115931749697241,135539438559709,155820001920492,171222025117381,186204652922262,193241108709536,205276172134901
"Yemen, Rep.",26910851361.7555,25130274124.2524,30906749533221,32726417878391,35401339869.3055,40415233436.1767,43228583935.0365,45593573381.2648,36436652465.1639
Zambia,17910858637.9048,15328342303.9575,20265556273582,23460098339.7453,25503370699.2015,28045460442.1876,27150630607.2032,21154394545895,20954754378.1394
Zimbabwe,4415702800,9665793300,12041655200,14101920300,17114849900,19091020000,19495519600,19963120600,20548678100
